Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio
2020-06-04,AMC,0P00011H0G,5.170000076293945,5.400000095367432,5.0,5.380000114440918,8572600,50.3578,0
2020-06-05,AMC,0P00011H0G,5.78000020980835,6.150000095367432,5.639999866485596,5.909999847412109,9240900,50.3578,0
2020-06-08,AMC,0P00011H0G,6.269999980926514,6.840000152587891,6.170000076293945,6.449999809265137,8587100,50.3578,0
2020-06-09,AMC,0P00011H0G,6.099999904632568,6.190000057220459,5.559999942779541,5.989999771118164,7394300,50.3578,0
2020-06-10,AMC,0P00011H0G,7.300000190734863,7.349999904632568,6.28000020980835,6.289999961853027,15322600,50.3578,0
2020-06-11,AMC,0P00011H0G,5.53000020980835,5.650000095367432,5.0,5.170000076293945,9179400,50.3578,0
2020-06-12,AMC,0P00011H0G,5.690000057220459,5.929999828338623,5.21999979019165,5.889999866485596,7352900,50.3578,0
2020-06-15,AMC,0P00011H0G,5.420000076293945,5.929999828338623,5.300000190734863,5.800000190734863,5541400,30.9358,0
2020-06-16,AMC,0P00011H0G,6.019999980926514,6.059999942779541,5.5,5.559999942779541,5911900,30.9358,0
2020-06-17,AMC,0P00011H0G,5.409999847412109,5.630000114440918,5.309999942779541,5.420000076293945,3030800,30.9358,0
2020-06-18,AMC,0P00011H0G,5.349999904632568,5.71999979019165,5.340000152587891,5.630000114440918,5619700,30.9358,0
2020-06-19,AMC,0P00011H0G,6.199999809265137,6.25,5.460000038146973,5.519999980926514,13137400,30.9358,0
2020-06-22,AMC,0P00011H0G,5.480000019073486,5.480000019073486,5.210000038146973,5.329999923706055,4412800,30.9358,0
2020-06-23,AMC,0P00011H0G,5.369999885559082,5.400000095367432,5.039999961853027,5.099999904632568,5699300,30.9358,0
2020-06-24,AMC,0P00011H0G,4.989999771118164,5.119999885559082,4.510000228881836,4.789999961853027,8104100,30.9358,0
2020-06-25,AMC,0P00011H0G,4.570000171661377,4.590000152587891,4.170000076293945,4.269999980926514,8251400,30.9358,0
2020-06-26,AMC,0P00011H0G,4.260000228881836,4.690000057220459,4.150000095367432,4.179999828338623,5601000,30.9358,0
2020-06-29,AMC,0P00011H0G,3.910000085830689,4.440000057220459,3.75,4.420000076293945,9321600,30.9358,0
2020-06-30,AMC,0P00011H0G,4.340000152587891,4.360000133514404,4.210000038146973,4.289999961853027,3653400,34.5191,0
2020-07-01,AMC,0P00011H0G,4.260000228881836,4.599999904632568,4.260000228881836,4.570000171661377,4914500,34.5191,0
2020-07-02,AMC,0P00011H0G,4.690000057220459,4.690000057220459,4.46999979019165,4.53000020980835,3908400,34.5191,0
2020-07-06,AMC,0P00011H0G,4.619999885559082,4.639999866485596,4.130000114440918,4.28000020980835,5489700,34.5191,0
2020-07-07,AMC,0P00011H0G,4.179999828338623,4.289999961853027,4.079999923706055,4.130000114440918,2667600,34.5191,0
2020-07-08,AMC,0P00011H0G,4.489999771118164,4.519999980926514,4.199999809265137,4.429999828338623,5586800,34.5191,0
2020-07-09,AMC,0P00011H0G,4.480000019073486,4.599999904632568,4.179999828338623,4.570000171661377,4225700,34.5191,0
2020-07-10,AMC,0P00011H0G,4.389999866485596,4.599999904632568,4.380000114440918,4.599999904632568,3306100,34.5191,0
2020-07-13,AMC,0P00011H0G,4.760000228881836,4.820000171661377,4.25,4.260000228881836,4464800,34.5191,0
2020-07-14,AMC,0P00011H0G,4.25,4.269999980926514,4.099999904632568,4.21999979019165,3291400,34.5191,0
2020-07-15,AMC,0P00011H0G,4.369999885559082,4.579999923706055,4.21999979019165,4.5,4830700,32.4321,0
2020-07-16,AMC,0P00011H0G,4.329999923706055,4.480000019073486,4.309999942779541,4.380000114440918,1997500,32.4321,0
2020-07-17,AMC,0P00011H0G,4.360000133514404,4.369999885559082,4.199999809265137,4.269999980926514,2101700,32.4321,0
2020-07-20,AMC,0P00011H0G,4.210000038146973,4.230000019073486,4.070000171661377,4.150000095367432,2393100,32.4321,0
2020-07-21,AMC,0P00011H0G,4.150000095367432,4.239999771118164,4.079999923706055,4.150000095367432,1925900,32.4321,0
2020-07-22,AMC,0P00011H0G,4.099999904632568,4.170000076293945,4.0,4.03000020980835,2798800,32.4321,0
2020-07-23,AMC,0P00011H0G,4.079999923706055,4.179999828338623,4.0,4.059999942779541,3614300,32.4321,0
2020-07-24,AMC,0P00011H0G,4.0,4.179999828338623,3.9600000381469727,4.0,3282400,32.4321,0
